Date	BNP.PA,Adj Close	CA.PA,Adj Close	SAN.PA,Adj Close	BNP.PA,Close	CA.PA,Close	SAN.PA,Close
2000-01-03	25.86	58.15		92.5	91.75	
2000-01-04	25.14	54.47		89.95	85.95	
2000-01-05	24.6	51.91		88.0	81.9	
2000-01-06	23.76	51.02		85.0	80.5	
2000-01-07	24.05	53.24		86.05	84.0	
2000-01-10	24.21	51.34		86.6	81.0	
2000-01-11	23.31	49.69		83.4	78.4	
2000-01-12	23.54	51.65		84.2	81.5	
2000-01-13	23.48	49.91		84.0	78.75	
2000-01-14	23.9	49.59		85.5	78.25	
2000-01-17	23.69	52.32		84.75	82.55	
2000-01-18	23.06	50.26		82.5	79.3	
2000-01-19	23.58	51.18		84.35	80.75	
2000-01-20	22.96	51.78		82.15	81.7	
2000-01-21	22.53	50.67		80.6	79.95	
2000-01-24	22.73	50.7		81.3	80.0	
2000-01-25	22.38	51.02		80.05	80.5	
2000-01-26	22.31	53.87		79.8	85.0	
2000-01-27	22.57	51.87		80.75	81.85	
2000-01-28	23.19	51.62		82.95	81.45	
2000-01-31	22.71	51.62		81.25	81.45	
2000-02-01	22.84	50.7		81.7	80.0	
2000-02-02	22.47	51.81		80.4	81.75	
2000-02-03	22.4	52.16		80.15	82.3	
2000-02-04	22.35	52.45		79.95	82.75	
2000-02-07	21.72	51.97		77.7	82.0	
2000-02-08	21.76	49.31		77.85	77.8	
2000-02-09	21.17	47.76		75.75	75.35	
2000-02-10	21.12	45.0		75.55	71.0	
2000-02-11	21.9	47.66		78.35	75.2	
2000-02-14	21.8	46.74		78.0	73.75	
2000-02-15	21.66	44.84		77.5	70.75	
2000-02-16	22.17	43.73		79.3	69.0	
2000-02-17	23.54	44.49		84.2	70.2	
2000-02-18	23.3	40.91		83.35	64.55	
2000-02-21	22.77	41.67		81.45	65.75	
2000-02-22	22.39	41.2		80.1	65.0	
2000-02-23	22.94	42.4		82.05	66.9	
2000-02-24	23.26	44.21		83.2	69.75	
2000-02-25	23.01	48.36		82.3	76.3	
2000-02-28	22.7	47.53		81.2	75.0	
2000-02-29	22.92	49.91		82.0	78.75	
2000-03-01	23.43	48.14		83.8	75.95	
2000-03-02	23.16	47.72		82.85	75.3	
2000-03-03	24.12	47.28		86.3	74.6	
2000-03-06	25.1	46.36		89.8	73.15	
2000-03-07	25.23	47.25		90.25	74.55	
2000-03-08	24.6	46.17		88.0	72.85	
2000-03-09	23.77	46.2		85.05	72.9	
2000-03-10	23.79	46.04		85.1	72.65	
2000-03-13	23.31	46.04		83.4	72.65	
2000-03-14	23.34	48.45		83.5	76.45	
2000-03-15	23.51	48.01		84.1	75.75	
2000-03-16	23.96	50.32		85.7	79.4	
2000-03-17	23.76	49.53		85.0	78.15	
2000-03-20	23.65	48.64		84.6	76.75	
2000-03-21	23.62	49.47		84.5	78.05	
2000-03-22	23.55	50.86		84.25	80.25	
2000-03-23	23.34	50.86		83.5	80.25	
2000-03-24	23.34	50.2		83.5	79.2	
2000-03-27	23.63	51.49		84.55	81.25	
2000-03-28	23.48	52.45		84.0	82.75	
2000-03-29	23.36	50.54		83.55	79.75	
2000-03-30	23.37	47.53		83.6	75.0	
2000-03-31	23.06	42.43		82.5	66.95	
2000-04-03	23.41	40.85		83.75	64.45	
2000-04-04	25.35	41.83		90.7	66.0	
2000-04-05	24.63	40.09		88.1	63.25	
2000-04-06	24.82	42.18		88.8	66.55	
2000-04-07	24.52	43.67		87.7	68.9	
2000-04-10	24.88	43.26		89.0	68.25	
2000-04-11	25.4	43.26		90.85	68.25	
2000-04-12	25.05	44.36		89.6	70.0	
2000-04-13	25.72	44.21		92.0	69.75	
2000-04-14	25.63	44.17		91.7	69.7	
2000-04-17	24.61	43.98		88.05	69.4	
2000-04-18	24.66	43.73		88.2	69.0	
2000-04-19	24.45	43.54		87.45	68.7	
2000-04-20	24.46	44.36		87.5	70.0	
2000-04-21	24.46	44.36		87.5	70.0	
2000-04-24	24.46	44.36		87.5	70.0	
2000-04-25	25.38	44.11		90.8	69.6	
2000-04-26	25.4	44.84		90.85	70.75	
2000-04-27	24.98	44.81		89.35	70.7	
2000-04-28	24.85	45.38		88.9	71.6	
2000-05-01	24.85	45.38		88.9	71.6	
2000-05-02	25.14	45.12		89.95	71.2	
2000-05-03	25.02	43.29		89.5	68.3	
2000-05-04	25.02	42.65		89.5	67.3	
2000-05-05	24.95	43.79		89.25	69.1	
2000-05-08	24.95	44.14		89.25	69.65	
2000-05-09	24.95	44.14		89.25	69.65	
2000-05-10	25.55	42.46		91.4	67.0	
2000-05-11	26.4	42.46		94.45	67.0	
2000-05-12	26.86	43.64		96.1	68.85	
2000-05-15	26.84	44.36		96.0	70.0	
2000-05-16	26.84	45.06		96.0	71.1	
2000-05-17	27.3	44.49		97.65	70.2	
2000-05-18	26.86	47.5		96.1	74.95	
2000-05-19	26.89	46.27		96.2	73.0	
2000-05-22	26.5	46.84		94.8	73.9	
2000-05-23	26.51	46.61		94.85	73.55	
2000-05-24	26.4	47.41		94.45	74.8	
2000-05-25	26.84	46.14		96.0	72.8	
2000-05-26	26.11	44.36		93.4	70.0	
2000-05-29	26.68	46.27		95.45	73.0	
2000-05-30	26.71	48.45		95.55	76.45	
2000-05-31	27.05	48.07		96.75	75.85	
2000-06-01	27.34	46.93		97.8	74.05	
2000-06-02	27.59	48.71		98.7	76.85	
2000-06-05	28.07	49.81		100.4	78.6	
2000-06-06	27.77	49.34		99.35	77.85	
2000-06-07	28.04	48.36		100.3	76.3	
2000-06-08	27.76	47.18		99.3	74.45	
2000-06-09	27.67	46.58		99.0	73.5	
2000-06-12	27.67	46.58		99.0	73.5	
2000-06-13	27.73	46.58		99.2	73.5	
2000-06-14	28.54	46.55		102.1	73.45	
2000-06-15	28.4	47.03		101.6	74.2	
2000-06-16	27.45	46.14		98.2	72.8	
2000-06-19	27.45	46.14		98.2	72.8	
2000-06-20	27.62	47.63		98.8	75.15	
2000-06-21	27.25	46.36		97.5	73.15	
2000-06-22	27.06	45.38		96.8	71.6	
2000-06-23	26.91	46.27		96.25	73.0	
2000-06-26	27.25	46.27		97.5	73.0	
2000-06-27	26.58	46.9		95.1	74.0	
2000-06-28	27.95	48.8		100.0	77.0	
2000-06-29	28.37	47.53		101.5	75.0	
2000-06-30	28.18	45.38		100.8	71.6	
2000-07-03	28.79	47.12		103.0	74.35	
2000-07-04	28.57	48.17		102.2	76.0	
2000-07-05	29.04	48.9		103.9	77.15	
2000-07-06	29.35	47.41		105.0	74.8	
2000-07-07	29.35	47.41		105.0	74.8	
2000-07-10	29.91	48.42		107.0	76.4	
2000-07-11	29.6	48.29		105.9	76.2	
2000-07-12	28.96	49.62		103.6	78.3	
2000-07-13	28.23	48.8		101.0	77.0	
2000-07-14	28.23	48.8		101.0	77.0	
2000-07-17	28.65	48.67		102.5	76.8	
2000-07-18	28.62	47.53		102.4	75.0	
2000-07-19	28.85	47.6		103.2	75.1	
2000-07-20	29.18	48.8		104.4	77.0	
2000-07-21	28.68	47.85		102.6	75.5	
2000-07-24	28.68	47.85		102.6	75.5	
2000-07-25	28.96	48.48		103.6	76.5	
2000-07-26	29.21	49.05		104.5	77.4	
2000-07-27	29.21	49.05		104.5	77.4	
2000-07-28	29.41	49.21		105.2	77.65	
2000-07-31	29.77	50.32		106.5	79.4	
2000-08-01	29.71	51.81		106.3	81.75	
2000-08-02	30.19	54.16		108.0	85.45	
2000-08-03	28.88	52.48		103.3	82.8	
2000-08-04	29.69	52.6		106.2	83.0	
2000-08-07	29.66	52.92		106.1	83.5	
2000-08-08	30.19	52.48		108.0	82.8	
2000-08-09	30.19	52.48		108.0	82.8	
2000-08-10	29.6	49.24		105.9	77.7	
2000-08-11	29.6	49.81		105.9	78.6	
