Date	Open	High	Low	Close	Volume	Adj_Close
2012-12-17	5.95	5.96	5.84	5.91	6408300	5.91
2012-12-14	5.99	6.04	5.92	5.95	5426200	5.95
2012-12-13	5.95	6.04	5.91	6.00	7867900	6.00
2012-12-12	5.88	5.94	5.84	5.91	5736900	5.91
2012-12-11	5.95	5.97	5.84	5.88	9324500	5.88
2012-12-10	6.00	6.03	5.87	5.95	12289900	5.95
2012-12-07	6.14	6.15	6.02	6.11	9313500	6.11
2012-12-06	6.09	6.15	6.00	6.14	7741000	6.14
2012-12-05	6.11	6.16	5.99	6.05	9210800	6.05
2012-12-04	5.91	6.10	5.91	6.03	10524900	6.03
2012-12-03	5.83	6.00	5.82	5.91	8439000	5.91
2012-11-30	5.84	5.90	5.81	5.83	7616700	5.83
2012-11-29	5.77	5.86	5.72	5.85	8839500	5.85
2012-11-28	5.69	5.72	5.60	5.72	6511000	5.72
2012-11-27	5.75	5.80	5.66	5.70	9200200	5.70
2012-11-26	5.75	5.80	5.61	5.64	7970000	5.64
2012-11-23	5.79	5.82	5.70	5.80	6980700	5.80
2012-11-22	5.80	5.83	5.76	5.78	5048300	5.78
2012-11-21	5.73	5.81	5.71	5.79	6267500	5.79
2012-11-20	5.66	5.84	5.63	5.78	10234300	5.78
2012-11-19	5.55	5.76	5.54	5.74	9054300	5.74
2012-11-16	5.61	5.67	5.46	5.46	8836900	5.46
2012-11-15	5.47	5.68	5.45	5.62	7577500	5.62
2012-11-14	5.65	5.74	5.51	5.54	8361700	5.54
2012-11-13	5.46	5.69	5.41	5.65	11731200	5.65
2012-11-12	5.56	5.60	5.44	5.48	11564800	5.48
2012-11-09	5.74	5.77	5.27	5.57	39440900	5.57
2012-11-08	5.99	6.09	5.84	5.92	11194400	5.92
2012-11-07	6.15	6.20	5.91	5.95	14723000	5.95
2012-11-06	5.86	6.08	5.83	6.08	11528800	6.08
2012-11-05	5.93	5.97	5.83	5.83	9180300	5.83
2012-11-02	5.99	6.04	5.91	5.98	6782300	5.98
2012-11-01	5.79	5.99	5.76	5.98	6983400	5.98
2012-10-31	5.92	5.97	5.79	5.81	9289100	5.81
2012-10-30	5.84	5.95	5.81	5.95	4714000	5.95
2012-10-29	5.85	5.89	5.74	5.83	7137700	5.83
2012-10-26	5.94	5.94	5.74	5.89	16658100	5.89
2012-10-25	6.11	6.20	6.00	6.00	7750100	6.00
2012-10-24	6.12	6.16	5.97	6.13	10024400	6.13
2012-10-23	6.23	6.30	6.03	6.10	11704200	6.10
2012-10-22	6.15	6.30	6.12	6.24	10225100	6.24
2012-10-19	6.30	6.34	6.12	6.18	13842800	6.18
2012-10-18	6.23	6.32	6.16	6.32	15183600	6.32
2012-10-17	6.49	6.55	6.10	6.21	32061700	6.21
2012-10-16	6.16	6.41	6.15	6.40	20742400	6.40
2012-10-15	5.97	6.17	5.97	6.08	10910900	6.08
2012-10-12	5.95	6.16	5.93	5.97	19054000	5.97
