nom du département	inscrits	votants	01-Besancenot	02-Buffet	03-Schivardi	04- Bayrou	05-Bové	06-Voynet	07-De Villiers	08-Royal	09-Nihous	10-Le Pen	11-Laguiller	12-Sarkozy
AIN	372 899	320 859	10 819	4 243	1 059	62 119	4 004	5 473	8 013	65 449	3 670	38 873	3 665	109 211
AISNE	377 475	315 501	17 059	6 327	1 313	42 000	3 347	3 695	8 124	72 835	4 180	53 744	7 223	91 118
ALLIER	259 537	221 525	10 981	9 897	918	39 700	2 646	2 863	5 292	55 744	3 119	21 860	3 370	60 994
ALPES-DE-HAUTE-PROVENCE	118 936	102 793	4 332	2 737	623	16 781	2 258	1 727	2 187	25 531	2 056	11 365	1 222	30 321
HAUTES-ALPES	102 955	88 527	3 634	1 621	319	17 289	2 164	1 805	1 948	21 385	1 720	7 792	872	26 774
ALPES-MARITIMES	721 716	599 324	14 223	10 533	1 442	89 143	6 220	8 512	10 883	106 216	2 985	79 926	4 545	258 626
ARDECHE	235 578	204 732	9 220	4 986	1 001	37 453	4 387	3 354	4 962	50 755	4 624	22 912	2 425	55 803
ARDENNES	199 115	163 570	8 639	3 035	503	23 001	1 661	2 087	4 173	39 683	2 140	26 185	3 557	46 934
ARIEGE	113 831	99 202	4 949	2 941	704	15 370	2 610	1 489	1 634	34 179	1 766	9 491	1 125	21 400
AUBE	204 692	171 162	6 227	2 837	521	27 128	1 592	2 286	4 980	33 280	2 175	26 101	2 476	59 398
AUDE	254 404	219 939	8 905	6 077	4 376	30 086	3 628	2 577	3 891	66 590	2 833	28 635	2 260	57 024
AVEYRON	217 981	192 289	7 492	2 868	986	40 810	5 579	2 600	3 807	51 344	3 332	13 959	1 907	54 316
BOUCHES-DU-RHONE	1260916	1056954	36 107	30 895	3 917	157 136	14 312	13 945	17 300	248 290	9 081	144 807	10 856	357 593
CALVADOS	482 677	417 156	21 490	5 407	1 251	83 115	5 591	6 786	10 324	103 481	9 648	36 939	6 681	120 191
CANTAL	123 363	105 850	4 022	1 502	573	20 956	1 583	1 235	2 122	24 984	2 567	8 501	1 314	34 726
CHARENTE	259 756	220 168	10 239	3 866	895	37 157	3 152	3 105	7 017	65 730	3 875	19 833	3 110	58 769
CHARENTE-MARITIME	453 394	384 612	15 408	5 840	1 353	65 306	4 987	5 634	13 997	104 916	9 136	33 896	4 662	114 119
CHER	232 301	191 490	9 750	7 238	782	33 775	2 503	2 673	5 193	44 326	2 851	22 076	3 350	53 656
CORREZE	187 233	162 919	7 193	6 176	781	28 765	2 196	1 890	3 415	47 538	3 065	12 125	1 926	44 839
CORSE-DU-SUD	94 555	71 477	2 988	2 285	209	9 144	762	972	955	13 836	1 057	11 212	582	26 443
HAUTE-CORSE	111 839	84 356	2 953	2 879	241	9 835	897	1 148	953	19 657	1 202	12 221	764	30 376
COTE-D'OR	349 518	299 305	11 427	3 823	1 057	56 946	3 626	4 693	6 746	71 385	2 695	34 479	4 005	94 875
COTES-D'ARMOR	445 906	393 819	19 697	9 054	1 263	81 973	5 918	7 327	7 714	116 827	4 469	28 723	5 539	100 316
