nom du département	inscrits	votants	Sarkozy	Royal
AIN	372 951	319 523	185 174	120 679
AISNE	377 467	317 396	161 670	141 338
ALLIER	259 503	220 677	102 426	107 442
ALPES-DE-HAUTE-PROVENCE	118 928	103 788	52 684	46 360
HAUTES-ALPES	103 043	89 694	45 951	39 668
ALPES-MARITIMES	721 912	606 764	399 120	187 169
ARDECHE	235 544	203 934	100 414	94 121
ARDENNES	199 104	165 433	84 607	73 442
ARIEGE	113 782	99 563	38 449	56 628
AUBE	204 735	171 773	101 291	62 885
AUDE	254 384	220 228	101 128	109 195
AVEYRON	217 855	192 585	93 433	90 382
BOUCHES-DU-RHONE	1 260 808	1 069 368	597 318	431 992
CALVADOS	482 675	414 393	203 583	194 026
CANTAL	123 322	106 618	56 981	45 208
CHARENTE	259 795	222 344	100 357	112 632
CHARENTE-MARITIME	453 387	388 229	193 372	179 017
CHER	232 240	193 636	94 447	89 323
CORREZE	187 179	164 528	73 548	82 909
CORSE-DU-SUD	94 554	73 997	43 844	27 249
HAUTE-CORSE	111 875	88 224	49 927	34 960
COTE-D'OR	349 541	302 194	162 217	126 760
COTES-D'ARMOR	445 750	394 042	168 622	210 577
CREUSE	99 791	84 757	37 775	43 043
DORDOGNE	309 001	273 749	121 947	139 604
DOUBS	353 154	306 240	162 972	129 107
DROME	338 120	290 776	152 482	125 384
EURE	403 691	343 416	188 416	139 980
EURE-ET-LOIR	293 844	249 003	138 452	99 601
FINISTERE	667 354	582 964	258 614	301 826
GARD	488 820	421 299	226 132	176 806
HAUTE-GARONNE	789 412	684 392	299 062	357 825
GERS	140 283	124 572	56 457	62 421
GIRONDE	953 649	826 882	382 366	409 550
HERAULT	699 652	600 184	311 465	265 066
ILLE-ET-VILAINE	665 677	582 202	265 929	292 606
INDRE	177 331	151 359	71 321	71 818
INDRE-ET-LOIRE	401 748	346 227	174 646	156 774
ISERE	784 163	671 093	335 314	308 072
JURA	187 165	161 792	84 605	69 180
LANDES	282 988	248 153	112 211	125 638
LOIR-ET-CHER	240 584	205 510	109 232	86 101
LOIRE	505 913	426 888	221 648	185 421
HAUTE-LOIRE	173 262	149 885	77 086	65 085
LOIRE-ATLANTIQUE	892 230	771 863	349 366	391 655
LOIRET	435 575	371 776	207 861	147 160
LOT	132 881	118 603	49 380	63 959
LOT-ET-GARONNE	238 952	208 312	107 261	91 516
LOZERE	59 991	52 838	28 100	22 307
MAINE-ET-LOIRE	540 056	469 527	242 330	205 221
MANCHE	371 790	318 603	171 038	133 482
MARNE	382 293	313 648	177 028	121 988
HAUTE-MARNE	142 345	118 995	66 782	46 134
MAYENNE	219 951	190 472	100 844	81 013
MEURTHE-ET-MOSELLE	490 176	407 928	199 441	190 727
MEUSE	141 227	119 369	64 701	48 951
MORBIHAN	534 904	465 991	228 053	218 085
MOSELLE	738 923	602 730	325 371	249 859
NIEVRE	169 340	143 168	64 308	72 258
NORD	1 776 605	1 456 277	721 506	672 679
OISE	536 646	453 307	252 728	180 890
ORNE	216 339	184 475	101 634	74 641
PAS-DE-CALAIS	1 078 402	897 261	410 398	445 273
PUY-DE-DOME	443 310	384 474	168 859	197 915
PYRENEES-ATLANTIQUES	475 022	411 927	186 013	205 499
HAUTES-PYRENEES	176 248	152 606	62 127	83 596
PYRENEES-ORIENTALES	314 805	267 988	143 043	113 784
BAS-RHIN	717 570	599 690	376 567	197 650
HAUT-RHIN	506 854	424 033	264 757	140 131
RHONE	1 037 922	884 920	485 628	364 978
HAUTE-SAONE	179 409	155 319	81 919	64 898
SAONE-ET-LOIRE	408 850	344 817	173 844	154 206
SARTHE	401 318	338 321	162 465	159 735
SAVOIE	288 079	245 194	134 304	99 987
HAUTE-SAVOIE	472 858	400 243	241 466	141 582
PARIS	1 222 231	1 055 532	511 920	508 082
SEINE-MARITIME	873 623	738 271	354 988	352 174
SEINE-ET-MARNE	801 895	680 359	367 080	285 492
YVELINES	893 701	770 145	435 014	305 909
DEUX-SEVRES	269 097	236 020	102 474	124 204
SOMME	410 186	349 066	168 317	165 280
TARN	276 335	243 815	114 518	117 836
TARN-ET-GARONNE	165 795	145 708	73 925	65 547
VAR	716 810	606 058	382 344	201 069
VAUCLUSE	370 704	318 223	184 714	119 516
VENDEE	464 228	405 307	220 680	166 060
VIENNE	299 239	258 775	120 079	127 029
HAUTE-VIENNE	265 881	232 072	96 295	123 518
VOSGES	288 654	243 164	125 734	104 024
YONNE	245 501	206 567	115 458	81 254
TERRITOIRE-DE-BELFORT	93 766	80 166	41 660	34 307
ESSONNE	743 090	638 434	319 170	293 652
HAUTS-DE-SEINE	905 058	777 472	416 666	332 096
SEINE-SAINT-DENIS	708 163	583 909	245 337	319 205
VAL-DE-MARNE	746 130	630 817	302 513	304 978
VAL-D'OISE	675 274	572 186	288 062	262 693
GUADELOUPE	303 222	198 537	92 387	95 510
MARTINIQUE	287 518	189 125	70 796	108 522
GUYANE	62 727	39 810	20 311	17 954
REUNION	511 033	394 482	138 807	242 231
ST-PIERRE-ET-MIQUELON	4 923	3 683	1 378	2 143
MAYOTTE	64 476	30 663	11 829	17 775
WALLIS-ET-FUTUNA	11 163	7 758	3 866	3 840
NOUVELLE-CALEDONIE	146 007	99 483	61 331	36 057
POLYNESIE-FRANCAISE	167 577	125 138	64 055	59 374
FRANCAIS ETABLIS HORS DE FRANCE	821 919	346 310	183 613	156 480
