champ	pre
12345678	12345668
12345679	12345669
12345680	12345670
12345681	12345671
12345682	12345672
12345683	12345673
12345684	12345674
12345685	12345675
12345686	12345676
12345687	12345677
12345688	12345678
12345689	12345679
12345690	12345680
12345691	12345681
12345692	12345682
12345693	12345683
12345694	12345684
12345695	12345685
12345696	12345686
12345697	12345687
12345698	12345688
12345699	12345689
12345700	12345690
12345701	12345691
12345702	12345692
12345703	12345693
12345704	12345694
12345705	12345695
12345706	12345696
12345707	12345697
12345708	12345698
12345709	12345699
12345710	12345700
12345711	12345701
12345712	12345702
12345713	12345703
12345714	12345704
12345715	12345705
12345716	12345706
12345717	12345707
12345718	12345708
12345719	12345709
12345720	12345710
12345721	12345711
12345722	12345712
12345723	12345713
12345724	12345714
12345725	12345715
12345726	12345716
12345727	12345717
12345728	12345718
12345729	12345719
12345730	12345720
12345731	12345721
12345732	12345722
12345733	12345723
12345734	12345724
12345735	12345725
12345736	12345726
12345737	12345727
12345738	12345728
12345739	12345729
12345740	12345730
12345741	12345731
12345742	12345732
12345743	12345733
12345744	12345734
12345745	12345735
12345746	12345736
12345747	12345737
12345748	12345738
12345749	12345739
12345750	12345740
12345751	12345741
12345752	12345742
12345753	12345743
12345754	12345744
12345755	12345745
12345756	12345746
12345757	12345747
12345758	12345748
12345759	12345749
12345760	12345750
12345761	12345751
12345762	12345752
12345763	12345753
12345764	12345754
12345765	12345755
12345766	12345756
12345767	12345757
12345768	12345758
12345769	12345759
12345770	12345760
12345771	12345761
12345772	12345762
12345773	12345763
12345774	12345764
12345775	12345765
12345776	12345766
12345777	12345767
12345778	12345768
12345779	12345769
12345780	12345770
12345781	12345771
12345782	12345772
12345783	12345773
12345784	12345774
12345785	12345775
12345786	12345776
12345787	12345777
12345788	12345778
12345789	12345779
12345790	12345780
12345791	12345781
12345792	12345782
12345793	12345783
12345794	12345784
12345795	12345785
12345796	12345786
12345797	12345787
12345798	12345788
12345799	12345789
12345800	12345790
12345801	12345791
12345802	12345792
12345803	12345793
12345804	12345794
12345805	12345795
12345806	12345796
12345807	12345797
12345808	12345798
12345809	12345799
12345810	12345800
12345811	12345801
12345812	12345802
12345813	12345803
12345814	12345804
12345815	12345805
12345816	12345806
12345817	12345807
12345818	12345808
12345819	12345809
12345820	12345810
12345821	12345811
12345822	12345812
12345823	12345813
12345824	12345814
12345825	12345815
12345826	12345816
12345827	12345817
12345828	12345818
12345829	12345819
12345830	12345820
12345831	12345821
12345832	12345822
12345833	12345823
12345834	12345824
12345835	12345825
12345836	12345826
12345837	12345827
12345838	12345828
12345839	12345829
12345840	12345830
12345841	12345831
12345842	12345832
12345843	12345833
12345844	12345834
12345845	12345835
12345846	12345836
12345847	12345837
12345848	12345838
12345849	12345839
12345850	12345840
12345851	12345841
12345852	12345842
12345853	12345843
12345854	12345844
12345855	12345845
12345856	12345846
12345857	12345847
12345858	12345848
12345859	12345849
12345860	12345850
12345861	12345851
12345862	12345852
12345863	12345853
12345864	12345854
12345865	12345855
12345866	12345856
12345867	12345857
12345868	12345858
12345869	12345859
12345870	12345860
12345871	12345861
12345872	12345862
12345873	12345863
12345874	12345864
12345875	12345865
12345876	12345866
12345877	12345867
12345878	12345868
12345879	12345869
12345880	12345870
12345881	12345871
12345882	12345872
12345883	12345873
12345884	12345874
12345885	12345875
12345886	12345876
12345887	12345877
12345888	12345878
12345889	12345879
12345890	12345880
12345891	12345881
12345892	12345882
12345893	12345883
12345894	12345884
12345895	12345885
12345896	12345886
12345897	12345887
12345898	12345888
12345899	12345889
12345900	12345890
12345901	12345891
12345902	12345892
12345903	12345893
12345904	12345894
