query	CLBRsugg	agreechar	agreecharIntersect	agreecharUnion	chinesesoundex	dlevpynchar	dlevpyncharUnits	lengthdiffn	lengthsubstminGT3	levroman	levromanUnits	levtaiwanchar	levtaiwancharUnits	pq12min	pq21max	q1bidded	q2hasroman	tok	tok12	wordr
.遊戲機地	.遊戲基地	0.666666666666667	4	6	0	0	0	0	1	0	0	0.25	1	999999999	999999999	0	1	3	1	0.666666666666667
0401影音live秀	0401影音視訊	0.416666666666667	5	12	0	0.454545454545455	5	0.272727272727273	1	0.5	4	0.5	2	999999999	999999999	0	1	2	0	1
0401影音視訊網	0401影音視訊	0.875	7	8	0.153846153846154	0.111111111111111	1	0.111111111111111	1	0	0	0.2	1	999999999	999999999	0	1	2	0	1
0410	0401影音視訊	0.428571428571429	3	7	0.636363636363636	0.625	5	0.5	1	0.5	2	1	4	999999999	999999999	0	1	2	0	1
0401 影音 live 秀免費視訊聊天室	0401影音視訊	0.388888888888889	7	18	0.476190476190476	0.619047619047619	13	0.619047619047619	1	0.636363636363636	7	0.6	6	999999999	999999999	0	1	5	0	1
0401 g girl org	0401影音視訊	0.230769230769231	3	13	0.272727272727273	0.733333333333333	11	0.466666666666667	1	0.733333333333333	11	1	4	999999999	999999999	0	1	5	0	1
a片av女優	0401影音視訊	0	0	12	0.454545454545455	1	8	0.25	1	1	4	1	4	999999999	999999999	0	1	2	0	1
080尋夢園	080 尋夢園聊天室聯盟	0.454545454545455	5	11	0.470588235294118	0.5	6	0.5	1	0.25	1	0.625	5	999999999	999999999	0	1	3	0	1
080 尋夢園聊天室 qa	080 尋夢園聊天室聯盟	0.692307692307692	9	13	0.176470588235294	0.230769230769231	3	0.0769230769230769	1	0.428571428571429	3	0.25	2	999999999	999999999	0	1	4	1	0.75
101票	101票務	0.75	3	4	0.2	0.2	1	0.2	1	0	0	0.5	1	999999999	999999999	0	1	2	0	1
101旅行	101票務	0.333333333333333	2	6	0.285714285714286	0.4	2	0	1	0	0	1	2	999999999	999999999	0	1	2	0	1
晚班	104 人力銀行求職服務中心晚班 pt 人員	0.105263157894737	2	19	0.857142857142857	0.909090909090909	20	0.909090909090909	0	1	8	0.857142857142857	12	999999999	999999999	0	1	5	0	1
123yes 自由網	123yes 求職	0.583333333333333	7	12	0.222222222222222	0.3	3	0.1	1	0	0	1	3	999999999	999999999	0	1	3	1	0.666666666666667
2007年	2007 年農民曆查詢	0.4	4	10	0.571428571428571	0.545454545454545	6	0.545454545454545	1	0.2	1	0.833333333333333	5	999999999	999999999	0	1	3	0	1
高雄旅遊展門票	2008高雄旅遊展	0.5	5	10	0.0833333333333333	0.666666666666667	6	0.222222222222222	1	1	4	0.285714285714286	2	999999999	999999999	0	1	2	0	1
2008新竹跨年活動	2009新竹跨年活動	0.8	8	10	0	0.1	1	0	1	0.25	1	0	0	999999999	999999999	0	1	2	0	1
33av 影城	33av com	0.444444444444444	4	9	0.285714285714286	0.375	3	0.125	1	0.375	3	1	2	999999999	999999999	0	1	3	1	0.666666666666667
666 abc net	666abc net	1	8	8	0	0.0909090909090909	1	0.0909090909090909	1	0.0909090909090909	1	0	0	999999999	999999999	0	1	4	1	0.75
666 abc 運動網	666abc net	0.454545454545455	5	11	0.363636363636364	0.363636363636364	4	0.0909090909090909	1	0.4	4	1	3	999999999	999999999	0	1	5	0	1
p2pzone.org	69kiss	0	0	14	0.285714285714286	1	11	0.454545454545455	1	1	11	0	0	999999999	999999999	0	1	3	0	1
69vip com	69kiss	0.272727272727273	3	11	0.166666666666667	0.666666666666667	6	0.333333333333333	1	0.666666666666667	6	0	0	999999999	999999999	0	1	3	0	1
69av con	69kiss	0.181818181818182	2	11	0	0.75	6	0.25	1	0.75	6	0	0	999999999	999999999	0	1	3	0	1
動漫站	7788 動漫站	0.5	3	6	0.4	0.625	5	0.625	0	1	5	0	0	999999999	999999999	0	1	2	1	0.5
倉井空影片 gogobox	85cc 倉井空免費影片	0.4	6	15	0.176470588235294	0.923076923076923	12	0.0769230769230769	1	1	8	0.285714285714286	2	999999999	999999999	0	1	4	0	1
cb 倉井空影片	85cc 倉井空免費影片	0.583333333333333	7	12	0.294117647058824	0.416666666666667	5	0.333333333333333	1	0.6	3	0.285714285714286	2	999999999	999999999	0	1	4	0	1
alcatel ot-s 211c	alcatel	0.454545454545455	5	11	0.636363636363636	0.588235294117647	10	0.588235294117647	1	0.588235294117647	10	0	0	999999999	999999999	0	1	3	1	0.666666666666667
miumiu	balenciaga	0.1	1	10	0.6	0.9	9	0.4	1	0.9	9	0	0	999999999	999999999	0	1	2	0	1
bottega	balenciaga	0.4	4	10	0.2	0.7	7	0.3	1	0.7	7	0	0	999999999	999999999	0	1	2	0	1
硬體查詢	everest	0	0	9	0.5	1	7	0.428571428571429	1	1	7	1	4	999999999	999999999	0	1	2	0	1
ati 顯示卡溫度	everest	0.0769230769230769	1	13	0.625	1	9	0.222222222222222	1	1	7	1	5	999999999	999999999	0	1	3	0	1
電腦硬體查詢	everest	0	0	11	0.666666666666667	1	7	0.142857142857143	1	1	7	1	6	999999999	999999999	0	1	2	0	1
查看電腦設備	everest	0	0	11	0.625	1	7	0.142857142857143	1	1	7	1	6	999999999	999999999	0	1	2	0	1
硬體偵測e	everest	0.111111111111111	1	9	0.5	0.857142857142857	6	0.285714285714286	1	0.857142857142857	6	1	4	999999999	999999999	0	1	2	0	1
改天再去死	facebook	0	0	12	0.333333333333333	1	8	0.375	1	1	8	1	5	999999999	999999999	0	1	2	0	1
ezpeer 破解	fairuse4wm	0.133333333333333	2	15	0.2	1	10	0.1	1	0.9	9	1	2	999999999	999999999	0	1	3	0	1
fu4wmver13	fairuse4wm	0.538461538461538	7	13	0.285714285714286	0.8	8	0	1	0.8	8	0	0	999999999	999999999	0	1	2	0	1
wmv 取得媒體使用權限	fairuse4wm	0.1	2	20	0.642857142857143	1	12	0.166666666666667	1	1	10	1	8	999999999	999999999	0	1	3	0	1
nodrm	fairuse4wm	0.153846153846154	2	13	0.4	0.8	8	0.5	1	0.8	8	0	0	999999999	999999999	0	1	2	0	1
automate undrm v2.0	fairuse4wm	0.263157894736842	5	19	0.5	0.894736842105263	17	0.473684210526316	1	0.894736842105263	17	0	0	999999999	999999999	0	1	5	0	1
kkbox 轉檔器	fairuse4wm	0	0	18	0.444444444444444	1	10	0.1	1	1	10	1	3	999999999	999999999	0	1	3	0	1
wmv保護	fairuse4wm	0.153846153846154	2	13	0	1	10	0.5	1	0.9	9	1	2	999999999	999999999	0	1	2	0	1
